state_index,seqid,raft,sensor,detector_id,detector_name,focal_x_mm,focal_y_mm,focal_r_mm
942,11166,R13,S20,60,R13_S20,84.75,-84.75,119.8546
942,11166,R14,S11,67,R14_S11,254.0,-127.0,283.9806
942,11166,R20,S01,73,R20_S01,-254.01,-42.26,257.5014
942,11166,R21,S12,86,R21_S12,-84.75,0.0,84.75
942,11166,R22,S22,98,R22_S22,42.25,42.25,59.7505
942,11166,R23,S20,105,R23_S20,84.75,42.25,94.6975
942,11166,R24,S21,115,R24_S21,254.0,42.25,257.4899
942,11166,R30,S12,122,R30_S12,-211.75,127.0,246.9151
942,11166,R31,S00,126,R31_S00,-169.25,84.75,189.2832
942,11166,R32,S01,136,R32_S01,0.0,84.75,84.75
942,11166,R33,S20,150,R33_S20,84.75,169.25,189.2832
942,11166,R34,S10,156,R34_S10,211.75,127.0,246.9151
942,11166,R41,S22,170,R41_S22,-84.76,296.24,308.1272
942,11166,R42,S11,175,R42_S11,-0.01,253.99,253.99
942,11166,R43,S01,181,R43_S01,126.99,211.74,246.9014
943,11173,R01,S20,6,R01_S20,-169.26,-211.76,271.0927
943,11173,R02,S10,12,R02_S10,-42.26,-254.01,257.5014
943,11173,R03,S10,21,R03_S10,84.74,-254.01,267.7722
943,11173,R10,S02,29,R10_S02,-211.76,-169.26,271.0927
943,11173,R11,S02,38,R11_S02,-84.75,-169.25,189.2832
943,11173,R12,S10,48,R12_S10,-42.25,-127.0,133.8434
943,11173,R13,S01,55,R13_S01,127.0,-169.25,211.6
943,11173,R14,S10,66,R14_S10,211.75,-127.0,246.9151
943,11173,R20,S11,76,R20_S11,-254.01,-0.01,254.01
943,11173,R21,S10,84,R21_S10,-169.25,0.0,169.25
943,11173,R22,S11,94,R22_S11,0.0,0.0,0.0
943,11173,R23,S02,101,R23_S02,169.25,-42.25,174.4438
943,11173,R24,S20,114,R24_S20,211.75,42.25,215.9239
943,11173,R30,S00,117,R30_S00,-296.25,84.75,308.1341
943,11173,R31,S01,127,R31_S01,-127.0,84.75,152.6812
943,11173,R32,S21,142,R32_S21,0.0,169.25,169.25
943,11173,R33,S12,149,R33_S12,169.25,127.0,211.6
943,11173,R34,S12,158,R34_S12,296.25,127.0,322.3245
943,11173,R41,S02,164,R41_S02,-84.76,211.74,228.0747
943,11173,R42,S21,178,R42_S21,-0.01,296.24,296.24
943,11173,R43,S20,186,R43_S20,84.74,296.24,308.1217
944,11179,R01,S22,8,R01_S22,-84.76,-211.76,228.0933
944,11179,R02,S11,13,R02_S11,-0.01,-254.01,254.01
944,11179,R03,S11,22,R03_S11,126.99,-254.01,283.9851
944,11179,R10,S01,28,R10_S01,-254.01,-169.26,305.2377
944,11179,R11,S12,41,R11_S12,-84.75,-127.0,152.6812
944,11179,R12,S20,51,R12_S20,-42.25,-84.75,94.6975
944,11179,R13,S02,56,R13_S02,169.25,-169.25,239.3556
944,11179,R14,S01,64,R14_S01,254.0,-169.25,305.2238
